lookback_days,decay_rate,MAE,RMSE,MAPE(%),R2
10,0.2,4.838274583662289,9.297370925657438,1.0694194126297816,0.9995413576391783
5,0.25,4.846757924228386,9.23898107886222,1.0679581953377748,0.9995471003302295
15,0.5,4.8565409944345035,9.272881207290517,1.0656458753130804,0.9995437706287205
15,0.25,4.857239383794238,9.319118118958786,1.0751942876229015,0.9995392095374601
5,0.5,4.861771819872814,9.256499029925179,1.0731958464575202,0.9995453812237917
10,0.25,4.867185409145922,9.40134269772512,1.0741007851098305,0.9995310423590847
10,0.1,4.867389605716656,9.284207673780402,1.0673128149940658,0.999542655414905
15,0.35,4.872674657013857,9.312695088568855,1.0726606002809755,0.9995398445012318
5,0.1,4.873526951423864,9.291278353743005,1.0732917387548278,0.9995419585393751
5,0.35,4.876177905759268,9.30955654272878,1.0741533203588383,0.9995401546103353
15,0.2,4.877910284614878,9.353171357090172,1.0717352204770385,0.9995358358112462
10,0.5,4.880781627797243,9.423913092563396,1.0728395927811374,0.9995287879439513
10,0.35,4.900279606600081,9.342067389773463,1.078276861491662,0.9995369372568126
5,0.2,4.923508177797001,9.338505929432321,1.0840911003282283,0.9995372902547454
15,0.1,4.933176158920715,9.327519909120646,1.0802417793785484,0.9995383782978698
