feature,importance
ema50_200_cross,0.083565
ema200_slope,0.06331093
cluster,0.06242259
momentum_12_1,0.05880795
dist_52wk_high,0.048183218
dist_ema50,0.04687813
atr_14,0.046219338
adx_14,0.04616581
macd_signal,0.044857223
dist_ema200,0.0434494
vol_20d,0.041082997
ret_20d,0.039835118
macd,0.03980541
mom_20d,0.03745039
macd_hist,0.03614498
ret_10d,0.02971711
mom_5d,0.02829413
rsi_14,0.027200932
ret_5d,0.025119826
vol_5d,0.02508592
bb_upper,0.023921669
bb_lower,0.023859954
bb_pct,0.023118265
vol_norm,0.021195821
price_spread,0.01850674
ret_1d,0.015801104
sent_lag1,0.0
sent_lag10,0.0
sent_lag5,0.0
sent_roll5,0.0
sentiment_acceleration,0.0
sentiment_velocity_10d,0.0
