Stock,Horizon,MAE,RMSE,R2,DHR,Sharpe
A,T+5,0.017479,0.022288,-0.225687,0.4829,-0.0529
A,T+10,0.025654,0.032423,-0.404579,0.4444,-0.8297
A,T+15,0.032036,0.040011,-0.593537,0.3974,-0.995
AAL,T+5,0.034303,0.042016,-0.068184,0.5085,0.4397
AAL,T+10,0.050101,0.06072,-0.040987,0.5085,0.2279
AAL,T+15,0.062922,0.074008,0.003657,0.5726,0.4828
AAP,T+5,0.04374,0.059656,-0.107332,0.5171,-0.2129
AAP,T+10,0.066458,0.085983,-0.204202,0.4444,-0.7841
AAP,T+15,0.088961,0.108601,-0.176011,0.4829,-0.3562
AAPL,T+5,0.020482,0.02558,-0.185808,0.3761,-1.5193
AAPL,T+10,0.0283,0.036477,-0.192596,0.4017,-1.0367
AAPL,T+15,0.036,0.045357,-0.152404,0.4786,-0.1532
ABBV,T+5,0.02209,0.031683,-0.252825,0.4359,-1.4332
ABBV,T+10,0.036515,0.052728,-0.433579,0.4017,-1.0337
ABBV,T+15,0.046959,0.067708,-0.654941,0.4658,-0.4835
ABC,T+5,0.029938,0.03954,-0.113391,0.4615,-0.7067
ABC,T+10,0.047114,0.059497,-0.162735,0.4188,-1.245
ABC,T+15,0.058096,0.071778,-0.076999,0.5,-0.336
ABT,T+5,0.01731,0.022022,-0.39133,0.3803,-2.5551
ABT,T+10,0.026769,0.033569,-0.53404,0.3889,-1.9209
ABT,T+15,0.034735,0.043022,-0.815288,0.3718,-1.6089
ACN,T+5,0.014237,0.017746,-0.250328,0.4188,-0.9039
ACN,T+10,0.022326,0.026625,-0.370701,0.5043,0.045
ACN,T+15,0.030201,0.034907,-0.463323,0.4957,-0.0678
ADBE,T+5,0.022638,0.031765,-0.187434,0.4744,0.0747
ADBE,T+10,0.03468,0.046139,-0.286338,0.4744,0.4832
ADBE,T+15,0.04419,0.057759,-0.330668,0.5684,0.9488
ADI,T+5,0.020694,0.025741,0.000446,0.547,0.6284
ADI,T+10,0.027396,0.032712,0.020619,0.5085,0.4997
ADI,T+15,0.033909,0.041205,0.034757,0.547,0.5819
ADM,T+5,0.017921,0.02497,-0.064542,0.5214,0.3172
ADM,T+10,0.026011,0.034046,-0.017526,0.547,0.7791
ADM,T+15,0.028887,0.038362,0.012921,0.5556,0.8151
ADP,T+5,0.020615,0.029662,-0.076619,0.5043,0.1825
ADP,T+10,0.030966,0.040691,-0.15162,0.4829,0.2913
ADP,T+15,0.038319,0.048668,-0.248751,0.5214,0.2811
ADS,T+5,0.028931,0.037281,-0.04739,0.5556,0.6251
ADS,T+10,0.036715,0.045596,-0.017763,0.5641,0.304
ADS,T+15,0.04787,0.05742,-0.060333,0.5513,0.3592
ADSK,T+5,0.029044,0.044123,-0.015837,0.4744,0.1139
ADSK,T+10,0.045413,0.062121,-0.025965,0.4915,-0.1114
ADSK,T+15,0.056013,0.073398,0.019941,0.547,0.601
AEE,T+5,0.014884,0.018519,-0.067982,0.5556,0.7803
AEE,T+10,0.022436,0.028222,-0.034836,0.5427,0.3964
AEE,T+15,0.030086,0.036704,-0.077877,0.5897,0.7125
AEP,T+5,0.015048,0.01945,-0.228605,0.4744,-1.567
AEP,T+10,0.023486,0.029927,-0.156311,0.4444,-1.2065
AEP,T+15,0.032305,0.038589,-0.155729,0.4017,-0.821
AES,T+5,0.01819,0.022922,-0.009758,0.4829,0.0317
AES,T+10,0.022299,0.03041,-0.039433,0.5128,0.069
AES,T+15,0.025406,0.03498,-0.095181,0.5256,-0.1995
AET,T+5,0.021926,0.027454,-0.314071,0.4188,-0.7026
AET,T+10,0.03313,0.040554,-0.587408,0.3376,-0.7942
AET,T+15,0.038778,0.047787,-0.959459,0.3034,-1.3249
AFL,T+5,0.012512,0.016409,-0.182079,0.4359,-1.1504
AFL,T+10,0.017864,0.022703,-0.577916,0.359,-1.8622
AFL,T+15,0.021602,0.027614,-1.094304,0.2949,-2.5231
AGN,T+5,0.027576,0.035017,-0.277476,0.4444,-1.0912
AGN,T+10,0.045918,0.057765,-0.3821,0.4487,-0.7254
AGN,T+15,0.059066,0.074326,-0.520759,0.4274,-0.9377
AIG,T+5,0.01573,0.019849,-0.073185,0.5855,0.878
AIG,T+10,0.023804,0.029029,-0.007696,0.5598,0.9382
AIG,T+15,0.029263,0.035926,0.01715,0.5855,0.7776
AIV,T+5,0.014303,0.018557,-0.044962,0.5684,0.1605
AIV,T+10,0.019552,0.025316,-0.081973,0.5256,0.3984
AIV,T+15,0.024457,0.030564,-0.198751,0.5043,0.1307
AIZ,T+5,0.020033,0.026831,-0.071715,0.4701,-0.3588
AIZ,T+10,0.02841,0.03726,-0.063601,0.5171,0.2237
AIZ,T+15,0.035123,0.045641,-0.024521,0.5684,0.4658
AJG,T+5,0.01179,0.015208,-0.11308,0.5171,-0.4516
AJG,T+10,0.018496,0.024621,-0.225588,0.4359,-1.3376
AJG,T+15,0.024964,0.031863,-0.33496,0.4274,-0.8636
AKAM,T+5,0.030489,0.048079,-0.143765,0.4017,-1.3159
AKAM,T+10,0.049478,0.068978,-0.162784,0.4786,-0.0211
AKAM,T+15,0.065638,0.088292,-0.218832,0.3974,-1.259
ALB,T+5,0.027916,0.040365,-0.045039,0.4658,-0.6559
ALB,T+10,0.04389,0.058888,-0.077923,0.4188,-0.6387
ALB,T+15,0.056988,0.07454,-0.059915,0.4487,-0.3854
ALGN,T+5,0.040637,0.05225,-0.56695,0.3034,-2.397
ALGN,T+10,0.07016,0.087107,-0.964015,0.2821,-2.8591
ALGN,T+15,0.10124,0.120119,-1.360791,0.2393,-2.114
ALK,T+5,0.031019,0.043701,-0.082364,0.5043,-0.1244
ALK,T+10,0.048832,0.067982,-0.093476,0.4829,-0.3681
ALK,T+15,0.064027,0.086328,-0.089252,0.453,-0.3784
ALL,T+5,0.015046,0.019887,-0.149628,0.4188,-0.9521
ALL,T+10,0.02197,0.02803,-0.213266,0.4103,-0.7812
ALL,T+15,0.027046,0.034444,-0.238688,0.4915,-0.6293
ALLE,T+5,0.016324,0.021274,-0.046694,0.4872,-0.5306
ALLE,T+10,0.024167,0.0303,-0.054279,0.4786,-0.052
ALLE,T+15,0.030471,0.038091,-0.129369,0.4316,-0.7583
ALXN,T+5,0.035382,0.048466,-0.045661,0.5085,0.3494
ALXN,T+10,0.059083,0.077597,-0.046474,0.5,0.1104
ALXN,T+15,0.076537,0.099601,-0.021129,0.4915,0.1924
AMAT,T+5,0.029498,0.039493,-0.036559,0.594,1.3648
AMAT,T+10,0.044351,0.054572,-0.081791,0.5855,0.7027
AMAT,T+15,0.05894,0.070771,-0.1178,0.641,0.8329
AMD,T+5,0.063241,0.085223,-0.008499,0.5256,-0.0474
AMD,T+10,0.074186,0.097894,-0.051292,0.5897,0.0763
AMD,T+15,0.098297,0.121586,-0.23189,0.5171,-0.0329
AME,T+5,0.016329,0.020442,-0.433571,0.3761,-2.3595
AME,T+10,0.025014,0.031782,-0.808238,0.3162,-2.339
