Stock,Strategy,Sharpe,DHR,Total_Return,N
A,T+1,1.4482,0.5435,0.0546,47
A,T+15,1.4318,0.5435,0.0535,47
A,02F Meta,1.4482,0.5435,0.0546,47
AAL,T+1,-0.2503,0.5217,-0.017,47
AAL,T+15,3.3927,0.5652,0.1577,47
AAL,02F Meta,-0.2503,0.5217,-0.017,47
AAP,T+1,-2.4689,0.413,-0.2391,47
AAP,T+15,1.4283,0.5652,0.1239,47
AAP,02F Meta,-2.4689,0.413,-0.2391,47
AAPL,T+1,-3.2084,0.4348,-0.0886,47
AAPL,T+15,1.4391,0.5217,0.0392,47
AAPL,02F Meta,-3.2084,0.4348,-0.0886,47
ABBV,T+1,-3.6952,0.4348,-0.0979,47
ABBV,T+15,-3.4161,0.413,-0.0912,47
ABBV,02F Meta,-3.6952,0.4348,-0.0979,47
ABC,T+1,5.3423,0.6087,0.2459,47
ABC,T+15,-3.6899,0.3913,-0.1525,47
ABC,02F Meta,5.3423,0.6087,0.2459,47
ABT,T+1,-1.4745,0.4348,-0.0402,47
ABT,T+15,-3.8122,0.413,-0.0956,47
ABT,02F Meta,-1.4745,0.4348,-0.0402,47
ACN,T+1,1.2679,0.5,0.027,47
ACN,T+15,-3.687,0.4348,-0.0783,47
ACN,02F Meta,1.2679,0.5,0.027,47
ADBE,T+1,2.6634,0.5652,0.1286,47
ADBE,T+15,6.3461,0.7609,0.319,47
ADBE,02F Meta,2.6634,0.5652,0.1286,47
ADI,T+1,0.2525,0.4565,0.0056,47
ADI,T+15,1.8455,0.5,0.0625,47
ADI,02F Meta,0.2525,0.4565,0.0056,47
ADM,T+1,1.7586,0.5652,0.0539,47
ADM,T+15,3.0354,0.5217,0.0957,47
ADM,02F Meta,1.7586,0.5652,0.0539,47
ADP,T+1,-0.9445,0.4565,-0.023,47
ADP,T+15,2.4811,0.587,0.0565,47
ADP,02F Meta,-0.9445,0.4565,-0.023,47
ADS,T+1,-0.1995,0.5652,-0.0157,47
ADS,T+15,-1.8143,0.4348,-0.0882,47
ADS,02F Meta,-0.1995,0.5652,-0.0157,47
ADSK,T+1,-0.4786,0.6304,-0.0543,47
ADSK,T+15,1.2371,0.4348,0.0854,47
ADSK,02F Meta,-0.4786,0.6304,-0.0543,47
AEE,T+1,-3.4387,0.3913,-0.0936,47
AEE,T+15,-1.8552,0.4348,-0.053,47
AEE,02F Meta,-3.4387,0.3913,-0.0936,47
AEP,T+1,1.1877,0.5435,0.0296,47
AEP,T+15,-0.7808,0.4565,-0.0215,47
AEP,02F Meta,1.1877,0.5435,0.0296,47
AES,T+1,-7.0399,0.3478,-0.2285,47
AES,T+15,1.8544,0.5,0.071,47
AES,02F Meta,-7.0399,0.3478,-0.2285,47
AET,T+1,-1.2737,0.5,-0.0335,47
AET,T+15,-1.7426,0.4565,-0.0453,47
AET,02F Meta,-1.2737,0.5,-0.0335,47
AFL,T+1,0.3148,0.5652,0.0079,47
AFL,T+15,2.1336,0.5,0.0778,47
AFL,02F Meta,0.3148,0.5652,0.0079,47
AGN,T+1,-4.878,0.3696,-0.1939,47
AGN,T+15,-6.0877,0.3261,-0.2306,47
AGN,02F Meta,-4.878,0.3696,-0.1939,47
AIG,T+1,-1.449,0.5,-0.0355,47
AIG,T+15,-0.7276,0.5,-0.0185,47
AIG,02F Meta,-1.449,0.5,-0.0355,47
AIV,T+1,0.0951,0.5,0.0007,47
AIV,T+15,-4.4506,0.4783,-0.0993,47
AIV,02F Meta,0.0951,0.5,0.0007,47
AIZ,T+1,0.1076,0.4783,0.0009,47
AIZ,T+15,-1.2675,0.5435,-0.0372,47
AIZ,02F Meta,0.1076,0.4783,0.0009,47
AJG,T+1,-1.148,0.5435,-0.0302,47
AJG,T+15,2.4474,0.5217,0.0597,47
AJG,02F Meta,-1.148,0.5435,-0.0302,47
AKAM,T+1,2.5035,0.5435,0.1628,47
AKAM,T+15,-2.24,0.413,-0.1454,47
AKAM,02F Meta,2.5035,0.5435,0.1628,47
ALB,T+1,-2.8912,0.4348,-0.1402,47
ALB,T+15,0.6035,0.5,0.0238,47
ALB,02F Meta,-2.8912,0.4348,-0.1402,47
ALGN,T+1,-2.1417,0.4783,-0.1597,47
ALGN,T+15,1.345,0.5,0.0891,47
ALGN,02F Meta,-2.1417,0.4783,-0.1597,47
ALK,T+1,-2.942,0.4348,-0.1395,47
ALK,T+15,2.2555,0.6087,0.1096,47
ALK,02F Meta,-2.942,0.4348,-0.1395,47
ALL,T+1,-0.7766,0.5435,-0.0183,47
ALL,T+15,-0.7405,0.5,-0.0181,47
ALL,02F Meta,-0.7766,0.5435,-0.0183,47
ALLE,T+1,-2.8733,0.3913,-0.0844,47
ALLE,T+15,-0.4653,0.5217,-0.0162,47
ALLE,02F Meta,-2.8733,0.3913,-0.0844,47
ALXN,T+1,0.4536,0.587,0.0165,47
ALXN,T+15,1.4538,0.5652,0.0715,47
ALXN,02F Meta,0.4536,0.587,0.0165,47
AMAT,T+1,-1.8081,0.413,-0.1225,47
AMAT,T+15,3.5047,0.587,0.2386,47
AMAT,02F Meta,-1.8081,0.413,-0.1225,47
AMD,T+1,-0.0319,0.4783,-0.0185,47
AMD,T+15,-0.3532,0.4348,-0.0426,47
AMD,02F Meta,-0.0319,0.4783,-0.0185,47
AME,T+1,-0.404,0.413,-0.0101,47
AME,T+15,1.0227,0.5,0.0211,47
AME,02F Meta,-0.404,0.413,-0.0101,47
AMG,T+1,2.0998,0.5652,0.0567,47
AMG,T+15,5.3538,0.6522,0.1492,47
AMG,02F Meta,2.0998,0.5652,0.0567,47
AMGN,T+1,-0.0695,0.4783,-0.0036,47
AMGN,T+15,2.0159,0.5652,0.0506,47
AMGN,02F Meta,-0.0695,0.4783,-0.0036,47
AMP,T+1,-0.6625,0.413,-0.0213,47
AMP,T+15,-2.7022,0.3913,-0.0766,47
