Window,Train_Start,Train_End,OOS_Start,OOS_End,Strategy,Sharpe,DHR,Max_DD,Total_Ret,BH_Sharpe,N_OOS_Days
1,2017-02-13,2017-08-03,2017-08-04,2017-08-31,T+1 Only,-3.3608,0.3684,-0.0339,-0.0249,-1.2562,20
1,2017-02-13,2017-08-03,2017-08-04,2017-08-31,Rule-Based Meta,-3.3608,0.3684,-0.0339,-0.0249,-1.2562,20
1,2017-02-13,2017-08-03,2017-08-04,2017-08-31,Ridge WFO,-8.6873,0.3158,-0.0623,-0.058,-1.2562,20
1,2017-02-13,2017-08-03,2017-08-04,2017-08-31,XGB WFO,2.3657,0.5263,-0.0211,0.0171,-1.2562,20
2,2017-03-14,2017-08-31,2017-09-01,2017-09-29,T+1 Only,2.4907,0.6842,-0.0078,0.0107,6.0492,20
2,2017-03-14,2017-08-31,2017-09-01,2017-09-29,Rule-Based Meta,2.4907,0.6842,-0.0078,0.0107,6.0492,20
2,2017-03-14,2017-08-31,2017-09-01,2017-09-29,Ridge WFO,-1.682,0.6316,-0.022,-0.0075,6.0492,20
2,2017-03-14,2017-08-31,2017-09-01,2017-09-29,XGB WFO,2.7518,0.6842,-0.0144,0.0122,6.0492,20
3,2017-04-11,2017-09-29,2017-10-02,2017-10-27,T+1 Only,3.2241,0.6316,-0.0111,0.0108,3.0159,20
3,2017-04-11,2017-09-29,2017-10-02,2017-10-27,Rule-Based Meta,3.2241,0.6316,-0.0111,0.0108,3.0159,20
3,2017-04-11,2017-09-29,2017-10-02,2017-10-27,Ridge WFO,1.857,0.6842,-0.0099,0.0064,3.0159,20
3,2017-04-11,2017-09-29,2017-10-02,2017-10-27,XGB WFO,1.857,0.6842,-0.0099,0.0064,3.0159,20
4,2017-05-10,2017-10-27,2017-10-30,2017-11-27,T+1 Only,-2.5462,0.5263,-0.0113,-0.0087,1.8446,20
4,2017-05-10,2017-10-27,2017-10-30,2017-11-27,Rule-Based Meta,-2.5462,0.5263,-0.0113,-0.0087,1.8446,20
4,2017-05-10,2017-10-27,2017-10-30,2017-11-27,Ridge WFO,-1.2099,0.4737,-0.0112,-0.0042,1.8446,20
4,2017-05-10,2017-10-27,2017-10-30,2017-11-27,XGB WFO,-2.2255,0.5263,-0.0162,-0.008,1.8446,20
5,2017-06-08,2017-11-27,2017-11-28,2017-12-26,T+1 Only,-2.6748,0.4211,-0.0305,-0.0151,6.1041,20
5,2017-06-08,2017-11-27,2017-11-28,2017-12-26,Rule-Based Meta,-2.6748,0.4211,-0.0305,-0.0151,6.1041,20
5,2017-06-08,2017-11-27,2017-11-28,2017-12-26,Ridge WFO,7.2476,0.6316,-0.0072,0.0364,6.1041,20
5,2017-06-08,2017-11-27,2017-11-28,2017-12-26,XGB WFO,2.5934,0.5263,-0.0147,0.0139,6.1041,20
